Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2018-02-25,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,790,219,50%,87,22.08,22.07,1092,43.31,,
2018-02-25,On Demand,Matt Wilpers,45,Cycling,Music,45 min Pop Ride,0,0,41%,0,0,0,0,,,
2018-03-01,On Demand,Emma Lovewell,45,Cycling,Groove,45 min Groove Ride,602,223,55%,77,22.24,16.67,832,,,
2018-03-03,On Demand,Robin Arzon,60,Cycling,Music,60 min Metrics Ride,838,233,52%,85,22.62,22.60,1159,,,
2018-03-07,On Demand,Robin Arzon,45,Cycling,Music,45 min Pop Ride,547,203,51%,82,21.44,16.07,756,,,
2018-03-07,On Demand,Christine D'Ercole,5,Cycling,Cool Down,5 min Cool Down Ride,33,155,42%,90,19.17,1.14,46,,,
2018-03-10,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,591,219,54%,79,21.87,16.39,817,,,
2018-03-10,On Demand,Robin Arzon,20,Cycling,Climb,20 min Climb Ride,217,196,57%,68,21.09,6.49,300,,,
2018-03-12,On Demand,Matt Wilpers,45,Cycling,Music,45 min Metrics Ride,526,195,49%,85,21.12,15.83,727,,,
2018-03-12,On Demand,Christine D'Ercole,5,Cycling,Cool Down,5 min Cool Down Ride,51,169,42%,95,20.01,1.66,70,,,
2018-03-16,On Demand,Matt Wilpers,5,Cycling,Warm Up,5 min Training Program Warm Up,46,152,44%,85,19.16,1.59,63,,,
2018-03-16,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,564,209,50%,84,21.69,16.26,780,,,
2018-03-16,On Demand,Matt Wilpers,5,Cycling,Warm Up,5 min Training Program Warm Up,58,196,48%,85,21.15,1.74,81,,,
2018-03-18,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,766,213,50%,86,21.87,21.86,1059,,,
2018-03-18,On Demand,Matt Wilpers,10,Cycling,Cool Down,10 min Cool Down Ride,63,105,36%,91,16.52,2.74,87,,,
2018-03-21,On Demand,Ally Love,10,Cycling,Warm Up,10 min Warm Up Ride,101,169,42%,95,20.03,3.33,140,,,
2018-03-21,On Demand,Jenn Sherman,45,Cycling,Music,45 min Metrics Ride,586,217,50%,88,22.00,16.49,810,,,
2018-03-25,On Demand,Ally Love,10,Cycling,Warm Up,10 min Warm Up Ride,115,192,44%,96,20.98,3.50,159,,,
2018-03-25,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,803,223,51%,86,22.27,22.26,1110,,,
2018-03-27,On Demand,Jenn Sherman,10,Cycling,Low Impact,10 min Low Impact Ride,109,182,47%,87,20.58,3.42,151,,,
2018-03-27,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,544,202,52%,80,21.32,15.98,752,,,
2018-03-28,On Demand,Robin Arzon,5,Cycling,Beginner,5 min Intro to Tabata,54,182,47%,87,20.51,1.70,75,,,
2018-03-28,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,602,223,54%,80,22.20,16.63,832,,,
2018-03-28,On Demand,Christine D'Ercole,5,Cycling,Cool Down,5 min Cool Down Ride,53,177,45%,91,20.42,1.69,73,,,
2018-03-31,On Demand,Matt Wilpers,5,Cycling,Warm Up,5 min Training Program Warm Up,59,195,48%,85,21.16,1.76,81,,,
2018-03-31,On Demand,Robin Arzon,60,Cycling,Music,60 min Metrics Ride,825,229,53%,84,22.48,22.47,1140,,,
2018-04-03,On Demand,Matt Wilpers,5,Cycling,Warm Up,5 min Training Program Warm Up,55,184,48%,83,20.69,1.71,76,,,
2018-04-03,On Demand,Matt Wilpers,45,Cycling,Intervals,45 min Intervals & Arms Ride,553,205,51%,81,21.44,16.07,764,,,
2018-04-06,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,100,167,46%,84,19.93,3.30,138,,,
2018-04-06,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,528,196,49%,84,21.14,15.85,729,,,
2018-04-09,On Demand,Hannah Corbin,10,Cycling,Climb,10 min Climb Ride,115,193,56%,70,20.98,3.49,160,,,
2018-04-09,On Demand,Alex Toussaint,45,Cycling,Music,45 min Metrics Ride,606,225,53%,83,22.30,16.71,837,,,
2018-04-12,On Demand,Jennifer Jacobs,5,Cycling,Beginner,5 min Intro to HIIT,50,167,45%,86,19.82,1.65,69,,,
2018-04-12,On Demand,Cody Rigsby,5,Cycling,Beginner,5 min Intro to Climb,56,188,51%,78,20.84,1.72,77,,,
2018-04-12,On Demand,Hannah Corbin,45,Cycling,Music,45 min Metrics Ride,612,227,53%,83,22.39,16.78,846,,,
2018-04-14,On Demand,Christine D'Ercole,10,Cycling,Climb,10 min Climb Ride,121,202,51%,83,21.40,3.56,167,,,
2018-04-14,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,21,186,46%,89,20.73,0.66,29,,,
2018-04-14,On Demand,Christine D'Ercole,60,Cycling,Heart Rate Zone,60 min HRZ Threshold Ride,843,234,53%,83,22.68,22.67,1165,,,
2018-04-17,On Demand,Jenn Sherman,10,Cycling,Low Impact,10 min Low Impact Ride,110,184,48%,84,20.70,3.44,152,,,
2018-04-17,On Demand,Hannah Corbin,45,Cycling,Music,45 min Pop Ride,564,209,51%,83,21.70,16.27,780,,,
2018-04-18,On Demand,Matt Wilpers,5,Cycling,Beginner,5 min Intro to Power Zone,59,199,46%,92,21.28,1.75,82,,,
2018-04-18,On Demand,Jenn Sherman,45,Cycling,Music,45 min Metrics Ride,641,237,52%,86,22.75,17.05,885,,,
2018-04-18,On Demand,Jenn Sherman,10,Cycling,Low Impact,10 min Low Impact Ride,104,174,47%,83,20.14,3.35,144,,,
2018-04-29,On Demand,Hannah Corbin,10,Cycling,Low Impact,10 min Low Impact Ride,120,201,50%,82,21.36,3.55,166,,,
2018-04-29,On Demand,Christine D'Ercole,60,Cycling,Heart Rate Zone,60 min HRZ Threshold Ride,814,226,52%,85,22.37,22.37,1125,,,
2018-05-01,On Demand,Hannah Corbin,10,Cycling,Low Impact,10 min Low Impact Ride,104,174,46%,85,20.23,3.36,144,,,
2018-05-01,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,547,203,52%,79,21.37,16.02,756,,,
2018-05-04,On Demand,Hannah Corbin,10,Cycling,Climb,10 min Climb Ride,115,192,57%,69,20.96,3.49,159,,,
2018-05-04,On Demand,Matt Wilpers,45,Cycling,Music,45 min Metrics Ride,578,214,51%,83,21.90,16.41,798,,,
2018-05-09,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,97,162,46%,84,19.67,3.27,134,,,
2018-05-09,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,610,226,56%,77,22.29,16.71,844,,,
2018-05-10,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,101,168,47%,83,20.00,3.32,139,,,
2018-05-10,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,566,210,49%,88,21.69,16.26,782,,,
2018-05-12,On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,122,204,48%,89,21.49,3.57,169,,,
2018-05-12,On Demand,Matt Wilpers,20,Cycling,Power Zone,20 min FTP Test Ride,305,254,55%,82,23.40,7.79,422,,,
2018-05-12,On Demand,Matt Wilpers,45,Cycling,Music,45 min New Tracks Ride,614,227,52%,86,22.40,16.79,848,,,
2018-05-13,On Demand,Jenn Sherman,10,Cycling,Low Impact,10 min Low Impact Ride,111,185,47%,87,20.73,3.46,153,,,
2018-05-13,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,35,190,45%,92,20.99,1.07,48,,,
2018-05-13,On Demand,Robin Arzon,45,Cycling,Music,45 min Metrics Ride,642,238,53%,86,22.78,17.07,887,,,
2018-05-15,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,100,166,47%,81,19.91,3.31,138,,,
2018-05-15,On Demand,Hannah Corbin,30,Cycling,Low Impact,30 min Low Impact Ride,342,190,50%,81,20.95,10.46,472,,,
2018-05-21,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,104,174,47%,84,20.28,3.36,144,,,
2018-05-21,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,571,212,49%,87,21.78,16.33,789,,,
2018-05-21,On Demand,Hannah Corbin,10,Cycling,Cool Down,10 min Cool Down Ride,113,189,48%,85,20.91,3.47,156,,,
2018-05-24,On Demand,Jenn Sherman,10,Cycling,Low Impact,10 min Low Impact Ride,116,195,47%,88,21.14,3.50,161,,,
2018-05-24,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,602,223,50%,88,22.24,16.67,832,,,
2018-05-25,On Demand,Jenn Sherman,10,Cycling,Low Impact,10 min Low Impact Ride,122,204,47%,91,21.52,3.58,169,,,
2018-05-25,On Demand,Robin Arzon,45,Cycling,Music,45 min Electronic Dance/EDM Ride,620,230,53%,84,22.50,16.86,857,,,
2018-05-25,On Demand,Jenn Sherman,10,Cycling,Cool Down,10 min Cool Down Ride,89,149,42%,89,18.97,3.14,123,,,
2018-05-28,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,115,192,47%,89,21.06,3.51,159,,,
2018-05-28,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,842,234,51%,88,22.68,22.67,1164,,,
2018-05-29,On Demand,Jenn Sherman,10,Cycling,Low Impact,10 min Low Impact Ride,106,176,47%,84,20.36,3.39,146,,,
2018-05-29,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,609,226,54%,80,22.32,16.72,842,,,
2018-06-01,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,107,178,46%,87,20.45,3.40,147,,,
2018-06-01,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,556,206,50%,85,21.60,16.19,768,,,
2018-06-02,On Demand,Matt Wilpers,5,Cycling,Warm Up,5 min Training Program Warm Up,59,196,48%,87,21.21,1.76,81,,,
2018-06-02,On Demand,Christine D'Ercole,60,Cycling,Heart Rate Zone,60 min HRZ Endurance Ride,807,224,52%,84,22.31,22.30,1116,,,
2018-06-02,On Demand,Hannah Corbin,10,Cycling,Cool Down,10 min Cool Down Ride,88,148,43%,87,19.01,3.16,122,,,
2018-06-05,On Demand,Jenn Sherman,10,Cycling,Climb,10 min Climb Ride,117,195,54%,74,21.11,3.51,161,,,
2018-06-05,On Demand,Ally Love,45,Cycling,Intervals,45 min Tabata Ride,631,234,50%,91,22.55,16.90,873,,,
2018-06-06,On Demand,Hannah Corbin,10,Cycling,Low Impact,10 min Low Impact Ride,104,174,47%,83,20.20,3.36,144,,,
2018-06-06,On Demand,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Ride,583,216,50%,87,21.98,16.48,806,,,
2018-06-11,On Demand,Jenn Sherman,10,Cycling,Low Impact,10 min Low Impact Ride,107,178,46%,85,20.14,3.34,147,,,
2018-06-11,On Demand,Emma Lovewell,45,Cycling,Music,45 min Metrics Ride,626,232,55%,81,22.58,16.93,866,,,
2018-06-13,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,108,179,49%,80,20.50,3.42,149,,,
2018-06-13,On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,618,229,53%,83,22.40,16.79,854,,,
2018-06-14,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,110,185,49%,83,20.73,3.44,153,,,
2018-06-14,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,591,219,51%,86,22.07,16.54,817,,,
2018-06-16,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,113,189,49%,83,20.91,3.48,156,,,
2018-06-16,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,839,233,50%,90,22.63,22.62,1160,,,
